Row #,Facility,TRIF ID,Latitude,Longitude,Total On-site,Total Off-site,Total On- and 
1,"A FINKL & SONS CO DBA FINKL STEEL - CHICAGO.1355 E 93RD ST, CHICAGO ILLINOIS 60619 (COOK)",60619VRSNC1355E,41.729,-87.592,421.5,"1,080,437.00","1,080,858.50"
2,"AALLIED DIE CASTING CO OF IL.3021 CULLERTON DR, FRANKLIN PARK ILLINOIS 60131 (COOK)",60131LLDDC3021C,41.934,-87.891,"2,184.00",0,"2,184.00"
3,"ABLE DIE CASTING CORP.3907 WESLEY TERRACE, SCHILLER PARK ILLINOIS 60176 (COOK)",6017WBLDCS397WE,41.95,-87.863,159,0,159
4,"ABLE ELECTROPOLISHING CO INC.2001 S KILBOURN AVE, CHICAGO ILLINOIS 60623 (COOK)",60623BLLCT2001S,41.854,-87.736,"30,903.60","22,439.60","53,343.20"
5,"ACCU  LABS INC.4831 S WHIPPLE ST, CHICAGO ILLINOIS 60632 (COOK)",60632RNNC04831S,41.805,-87.7,.,0,0
6,"ACCURATE ANODIZING.3130 S AUSTIN BLVD, CICERO ILLINOIS 60804 (COOK)",60650CCRTN3130S,41.835,-87.774,41,0,41
7,"ACCURATE DISPERSIONS.1111 MAPLE AVE, HOMEWOOD ILLINOIS 60430 (COOK)",60430CCRTD1111M,41.567,-87.645,55,"2,754.88","2,809.88"
8,"ACCURATE DISPERSIONS.192 W 155TH ST, SOUTH HOLLAND ILLINOIS 60473 (COOK)",60473MCWHR192W1,41.614,-87.622,"5,475.00","3,262.60","8,737.60"
9,"ACCURATE THREADED FASTNERS.3550 W PRATT, LINCOLNWOOD ILLINOIS 60712 (COOK)",60645CCRTT3550W,42.006,-87.723,0,0,0
10,"ACE ANODIZING & IMPREGNATING INC.4161 BUTTERFIELD RD, HILLSIDE ILLINOIS 60162 (COOK)",60162CNDZN4161B,41.881,-87.885,"1,227.00",105.46,"1,332.46"
11,"ACID PRODUCTS CO INC.600 W 41ST ST, CHICAGO ILLINOIS 60609 (COOK)",60609CDPRD6W41S,41.821,-87.642,.,0,0
12,"ACME ALLIANCE LLC.3610 COMMERCIAL AVE, NORTHBROOK ILLINOIS 60062 (COOK)",60062CMDCS3610C,42.147,-87.868,306.6,3,309.6
13,"ACME FINISHING CO LLC.1595 E OAKTON ST, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007CMFNS1595O,42.021,-87.962,"25,921.00",0,"25,921.00"
14,"ADHESIVE COATING TECHNOLOGIES INC.420 NORTHGATE PKWY, WHEELING ILLINOIS 60090 (COOK)",60090CSTMT420NO,42.147,-87.929,"1,982.00",250,"2,232.00"
15,"AIRGAS SPECIALTY PRODUCTS-RIVERDALE IL.1200 W 138TH ST, RIVERDALE ILLINOIS 60827 (COOK)",60827LRCHN1200W,41.644,-87.652,"1,200.00",0,"1,200.00"
